RANK,TEAM,YEAR,PPG,LAST3,LAST1,HOME,AWAY,PREVYEAR,PLAYERS,TOTAL,AVGCAP,PCTOFCAP,DRAFT2021_1,DRAFT2021_2,DRAFT2021_3,DRAFT2021_4,DRAFT2020_1,DRAFT2020_2,DRAFT2020_3,DRAFT2020_4,TDperGame,YPG,ppg2023
21,Arizona Cardinals,2022,20,16,13,20.8,19.3,25.6,26,"$43,067,561 ","$1,656,445 ",0.2076,0,1,0,0,0,0,1,0,2.4,329,21.6
15,Atlanta Falcons,2022,21.5,19.7,30,24.9,17.6,18.4,24,"$48,759,902 ","$2,031,663 ",0.2337,1,0,1,1,0,0,1,0,1.6,316.8,16.6
20,Baltimore Ravens,2022,20.4,15.3,17,19.1,21.4,22.8,23,"$80,607,836 ","$3,504,689 ",0.3932,1,0,1,1,0,1,2,1,2.6,335,21.8
3,Buffalo Bills,2022,27.7,26.3,10,29.7,25.8,29.8,23,"$75,313,161 ","$3,274,485 ",0.361,0,0,1,0,0,1,1,1,3.8,390.4,31.8
19,Carolina Panthers,2022,20.4,23.7,10,22.1,18.5,17.9,25,"$70,114,481 ","$2,804,579 ",0.3286,0,1,2,1,0,0,0,0,1.8,294.4,18.2
23,Chicago Bears,2022,19.2,12,13,19.6,18.8,18.3,25,"$45,862,760 ","$1,834,510 ",0.2185,1,1,0,0,0,1,0,0,2.6,334.4,23
7,Cincinnati Bengals,2022,25.7,23.7,20,28.1,24,26.3,25,"$79,674,617 ","$3,186,985 ",0.3755,1,1,0,1,1,1,0,0,1.6,264.8,16.6
